text,date
Free Palestine,2024-05-13 18:34:29+00:00
Haaaa you are being blocked lol,2024-05-13 18:34:20+00:00
Blockout 👋👋🇵🇸🇵🇸,2024-05-13 17:53:13+00:00
"#freepalestine🇵🇸 #blockout2024
#alleyesonrafah #freecongo🇨🇩",2024-05-13 17:08:05+00:00
#freepalestine #boycott,2024-05-13 16:48:19+00:00
Block,2024-05-13 16:29:14+00:00
Bring back the black patent tote shopper bag 🖤,2024-05-13 16:11:12+00:00
#blockout2024,2024-05-13 14:31:33+00:00
#boycotthm,2024-05-13 14:31:19+00:00
,2024-05-13 14:27:33+00:00
Great😍,2024-05-13 13:52:19+00:00
😍😍😍stupendo,2024-05-13 13:15:38+00:00
"@libre_come_ Hi there! We are sorry to hear this. For us to safely access your account and look into this for you please DM us and confirm your full name, order number, email address and complete billing address. Speak soon!",2024-05-13 12:43:28+00:00
#blockout2024🇵🇸,2024-05-13 11:27:52+00:00
It’s really difficult to get refund from its online website. I have ordered 2 trousers two week ago but I haven’t received the refund till now. The most useless customer services . Never gonna order anything from @hm,2024-05-13 10:23:23+00:00
🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,2024-05-13 09:05:57+00:00
🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,2024-05-13 09:05:52+00:00
🍉🍉🍉,2024-05-13 09:05:42+00:00
"@marasimeonidou Καλησπέρα! Θα χρειαστεί να μας στείλεις σε προσωπικό μήνυμα ποιο ακριβώς φόρεμα σε ενδιαφέρει, ώστε να μπορέσουμε να σε εξυπηρετήσουμε. Παραμένουμε στη διάθεσή σου.",2024-05-15 12:36:30+00:00
#blockout2024 🇵🇸,2024-05-15 10:08:05+00:00
Nice,2024-05-15 06:44:26+00:00
"Καλησπέρα,  ποιος είναι ο κωδικός του φορέματος για να το παραγγείλω?",2024-05-14 16:05:06+00:00
"@marietta__jan This blazer is truly one of our absolute favorites! To see if it's available in your area, please enter product number 1223815002 into our search engine. Happy shopping!",2024-05-14 15:11:57+00:00
what’s the article of blazer?,2024-05-14 10:59:41+00:00
Boycott for Palestine 🇵🇸,2024-05-14 05:37:57+00:00
#blockout2024 #blockout2024🇵🇸 #blockout,2024-05-13 18:07:20+00:00
🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,2024-05-13 09:06:25+00:00
🇵🇸🇵🇸🇵🇸,2024-05-12 22:38:53+00:00
Wow,2024-05-12 19:03:02+00:00
Wow😍,2024-05-12 19:01:38+00:00
#chop #freepalestine #boycott #bye 🇵🇸🇵🇸🇵🇸,2024-05-12 10:27:58+00:00
,2024-05-12 09:48:21+00:00
#blockout2024,2024-05-12 07:10:34+00:00
#blockout,2024-05-12 07:10:14+00:00
your silence will be remembered.,2024-05-12 05:30:06+00:00
Blocked for being silent/complicit for the genocide in Gaza. Shame.,2024-05-12 04:51:55+00:00
Beautiful 😻,2024-05-11 21:33:36+00:00
,2024-05-11 20:33:38+00:00
🔥🔥🔥,2024-05-11 17:56:28+00:00
Sold out in few minutes. Waste of time.,2024-05-11 16:23:21+00:00
😍😍😍😍,2024-05-11 10:05:25+00:00
Love it! 🔥,2024-05-11 08:28:11+00:00
"@misspinkyorange Es freut uns zu lesen, dass dir die Kollektion so gut gefällt. Da wir die Items nur in geringer Stückzahl anbieten, kann es sehr schnell passieren, dass sie ausverkauft sind, das tut uns natürlich leid.",2024-05-11 07:33:37+00:00
#freepalestine,2024-05-11 03:43:54+00:00
